City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
563,Gilbues,BR,72.16,light rain,-9.8317,-45.3439,Hotel Camapuã
564,San Policarpo,PH,80.24,light rain,12.1791,125.5072,Agapita M. Nicart
565,Belmonte,BR,77.5,light rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
566,Pitimbu,BR,79.39,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
569,Cabinda,AO,77.36,light rain,-5.55,12.2,Hotel Maiombe
570,Soyo,AO,77.16,moderate rain,-6.1349,12.3689,Hotel Mpampa
571,Conceicao Do Araguaia,BR,72.05,light rain,-8.2578,-49.2647,Tarumã Tropical Hotel
575,Sao Joao Da Barra,BR,71.71,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
576,Trinidad,BO,74.57,overcast clouds,-14.8333,-64.9,Hotel Piesta
580,San Luis,AR,70.16,few clouds,-33.295,-66.3356,Huarpes Hotel
582,Sur,OM,72.32,clear sky,22.5667,59.5289,Sur Plaza Hotel
586,Ewa Beach,US,80.55,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
587,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
592,Kayankulam,IN,79.97,clear sky,9.1833,76.5,Hotel Indraprastha
593,Padang,ID,84.25,scattered clouds,-0.9492,100.3543,Mercure Padang
595,Manggar,ID,86.43,overcast clouds,-2.8833,108.2667,Guest Hotel
598,Makakilo City,US,79.12,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
599,Black River,JM,78.8,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
603,Cicero Dantas,BR,71.83,overcast clouds,-10.6,-38.3833,Hotel Beatriz
607,Rioja,AR,77.32,scattered clouds,-29.4111,-66.8507,Hotel Libertador
610,Kathu,TH,80.42,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
612,Kudahuvadhoo,MV,81.81,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
620,Charlestown,AU,81.57,clear sky,-32.95,151.6667,Panorama Motor Inn Hotel
624,Candolim,IN,78.4,moderate rain,15.5181,73.7626,Resort Terra Paraiso
626,Port-Gentil,GA,79.38,light rain,-0.7193,8.7815,Fengshui Residence
627,Inongo,CD,70.43,overcast clouds,-1.95,18.2667,Hotel Du Lac
628,Mayumba,GA,75.76,light rain,-3.432,10.6554,LIKWALE LODGE
631,Pochutla,MX,77.83,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
632,Itupiranga,BR,76.53,overcast clouds,-5.1347,-49.3267,Hotel Panorama
635,Ilhabela,BR,72.01,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
636,Mlonggo,ID,87.69,overcast clouds,-6.5333,110.7,Asia Metal Art
639,Contamana,PE,76.35,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
641,Akyab,MM,77.45,few clouds,20.15,92.9,Hotel Memory
644,Teluk Intan,MY,77.36,light rain,4.0259,101.0213,Angsoka Hotel Teluk Intan
645,Biltine,TD,71.46,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
648,Bac Lieu,VN,80.13,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
