City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Pasni,PK,2021-11-25 21:07:03,25.2631,63.471,76.6,53,0,7.74
91,Narsaq,GL,2021-11-25 21:07:03,60.9167,-46.05,34.02,99,100,7.16
92,Vaini,TO,2021-11-25 21:03:06,-21.2,-175.2,86.16,79,75,5.75
93,Butaritari,KI,2021-11-25 21:02:26,3.0707,172.7902,82.69,72,84,16.15
94,Yen Bai,VN,2021-11-25 21:07:04,21.7,104.8667,60.98,85,10,0.89
95,Mandalgovi,MN,2021-11-25 21:07:04,45.7625,106.2708,22.44,58,0,8.48
96,Puerto Colombia,CO,2021-11-25 21:07:05,10.9878,-74.9547,84.29,79,76,17.0
97,Harper,LR,2021-11-25 21:02:16,4.375,-7.7169,80.33,83,56,9.46
98,Port Hardy,CA,2021-11-25 21:00:11,50.6996,-127.4199,45.45,93,100,19.22
99,Dikson,RU,2021-11-25 21:02:13,73.5069,80.5464,-4.25,95,100,3.85
100,Luderitz,NA,2021-11-25 21:02:22,-26.6481,15.1594,59.85,94,11,3.42
101,Bredasdorp,ZA,2021-11-25 21:02:23,-34.5322,20.0403,63.28,75,11,24.9
102,Tiradentes,BR,2021-11-25 21:07:06,-21.1103,-44.1781,69.62,82,57,5.46
103,Wawa,NG,2021-11-25 21:07:06,9.9022,4.4192,82.0,34,7,0.22
104,Saskylakh,RU,2021-11-25 21:02:16,71.9167,114.0833,-6.95,95,76,8.61
105,Bengkulu,ID,2021-11-25 21:07:07,-3.8004,102.2655,77.7,82,99,3.31
106,Bambous Virieux,MU,2021-11-25 21:03:39,-20.3428,57.7575,73.22,72,0,2.26
107,Devils Lake,US,2021-11-25 21:07:07,48.1128,-98.8651,21.94,68,1,8.99
108,Baisha,CN,2021-11-25 21:06:48,26.5222,110.9311,48.49,74,0,2.01
109,Zilair,RU,2021-11-25 21:07:08,52.2332,57.4392,18.27,95,100,10.8
110,Craig,US,2021-11-25 21:05:13,40.5153,-107.5464,40.95,30,1,5.75
111,Abha,SA,2021-11-25 21:07:08,18.2164,42.5053,53.85,94,26,0.0
112,Yellowknife,CA,2021-11-25 21:02:25,62.456,-114.3525,10.42,87,90,16.11
113,Kiunga,PG,2021-11-25 21:07:09,-6.1219,141.2906,71.6,100,100,0.63
114,Beloha,MG,2021-11-25 21:07:10,-25.1667,45.05,68.45,55,76,11.5
115,Puerto Baquerizo Moreno,EC,2021-11-25 21:07:10,-0.9,-89.6,74.39,73,75,14.97
116,Thompson,CA,2021-11-25 21:04:18,55.7435,-97.8558,5.9,81,98,4.5
117,Husavik,IS,2021-11-25 21:07:10,66.0449,-17.3389,30.11,93,98,28.77
118,Uni,RU,2021-11-25 21:07:11,57.7535,51.4923,8.49,99,88,6.29
119,Fukue,JP,2021-11-25 21:07:11,32.6881,128.8419,58.84,56,0,14.92
120,Khatanga,RU,2021-11-25 21:07:12,71.9667,102.5,-19.55,100,98,3.11
121,Alexandria,EG,2021-11-25 21:07:12,31.2156,29.9553,67.55,69,37,3.06
122,Ust-Nera,RU,2021-11-25 21:07:12,64.5667,143.2,-31.31,97,43,2.01
123,Cayenne,GF,2021-11-25 21:07:13,4.9333,-52.3333,82.44,83,0,1.01
124,Westerland,DE,2021-11-25 21:07:13,54.9079,8.3033,44.62,65,20,17.27
125,Kaitangata,NZ,2021-11-25 21:07:13,-46.2817,169.8464,56.07,67,100,2.48
126,Ballina,AU,2021-11-25 21:07:14,-28.8667,153.5667,73.78,99,99,12.59
127,Cunday,CO,2021-11-25 21:07:14,4.06,-74.6921,77.27,83,92,2.17
128,Arraial Do Cabo,BR,2021-11-25 21:04:16,-22.9661,-42.0278,75.06,78,0,16.11
129,Okhotsk,RU,2021-11-25 21:03:40,59.3833,143.3,1.0,82,54,8.03
130,Jamestown,US,2021-11-25 20:59:10,42.097,-79.2353,43.02,89,90,4.0
131,Buchanan,LR,2021-11-25 21:07:15,5.8808,-10.0467,80.71,81,36,7.27
132,Tari,NG,2021-11-25 21:07:16,12.4086,4.4914,81.72,17,2,8.77
133,Rocha,UY,2021-11-25 21:07:16,-34.4833,-54.3333,69.58,54,100,3.22
134,Ilulissat,GL,2021-11-25 21:02:30,69.2167,-51.1,24.82,68,99,14.97
135,Lavrentiya,RU,2021-11-25 21:08:17,65.5833,-171.0,-6.9,88,6,8.9
136,Cabo San Lucas,MX,2021-11-25 21:04:27,22.8909,-109.9124,81.7,66,75,1.01
137,Caravelas,BR,2021-11-25 21:08:18,-17.7125,-39.2481,73.98,73,0,6.87
138,Geraldton,AU,2021-11-25 21:08:18,-28.7667,114.6,61.21,59,0,6.91
139,Mogadishu,SO,2021-11-25 21:06:12,2.0371,45.3438,81.05,83,100,17.11
140,Vidim,RU,2021-11-25 21:08:19,56.4088,103.1106,22.08,95,100,4.72
141,Karabash,RU,2021-11-25 21:08:19,55.4808,60.2157,10.74,96,84,3.78
142,Leh,IN,2021-11-25 21:08:20,34.1667,77.5833,16.29,73,31,3.85
143,Tuatapere,NZ,2021-11-25 21:07:32,-46.1333,167.6833,56.14,84,100,3.98
144,Soyo,AO,2021-11-25 21:08:20,-6.1349,12.3689,78.84,85,99,5.26
145,Bukama,CD,2021-11-25 21:08:21,-9.2,25.85,69.76,91,100,1.14
146,Chinna Salem,IN,2021-11-25 21:06:12,11.65,78.9,73.96,93,96,6.93
147,Te Anau,NZ,2021-11-25 21:08:21,-45.4167,167.7167,55.67,84,100,6.55
148,Saint-Joseph,RE,2021-11-25 21:08:22,-21.3667,55.6167,77.38,83,28,1.83
149,Eureka,US,2021-11-25 21:03:41,40.8021,-124.1637,62.13,68,100,1.99
150,Del Rio,US,2021-11-25 21:08:22,29.3627,-100.8968,68.11,26,1,16.11
151,Thinadhoo,MV,2021-11-25 21:08:23,0.5333,72.9333,81.07,71,55,17.4
152,Broome,US,2021-11-25 21:08:23,42.2506,-75.833,46.02,69,90,1.99
153,Batemans Bay,AU,2021-11-25 21:08:24,-35.7167,150.1833,64.2,95,100,12.55
154,Cockburn Town,TC,2021-11-25 20:56:08,21.4612,-71.1419,78.76,57,40,13.8
155,Esperance,AU,2021-11-25 21:02:19,-33.8667,121.9,57.52,84,99,8.95
156,San Andres,CO,2021-11-25 21:04:13,12.5847,-81.7006,84.22,74,40,9.22
157,Coihaique,CL,2021-11-25 21:01:20,-45.5752,-72.0662,56.14,45,18,11.43
158,Sandwick,GB,2021-11-25 21:08:25,60.0,-1.25,39.02,93,75,18.41
159,Zhangjiakou,CN,2021-11-25 21:08:25,40.81,114.8794,25.75,68,1,5.19
160,Belyy Yar,RU,2021-11-25 21:08:26,53.6039,91.3903,21.09,93,100,2.24
161,Souillac,MU,2021-11-25 21:08:26,-20.5167,57.5167,72.36,74,0,2.08
162,Hervey Bay,AU,2021-11-25 21:08:27,-25.2986,152.8535,76.03,95,97,14.65
163,Buraydah,SA,2021-11-25 21:08:27,26.326,43.975,68.05,32,0,10.11
164,Oistins,BB,2021-11-25 21:08:28,13.0667,-59.5333,81.09,74,55,4.85
165,Sangre Grande,TT,2021-11-25 21:08:28,10.5835,-61.1177,84.18,79,97,5.01
166,College,US,2021-11-25 21:08:28,64.8569,-147.8028,-4.34,74,75,0.0
167,Alekseyevka,RU,2021-11-25 21:08:29,50.6309,38.6903,28.38,87,16,7.61
168,Basco,PH,2021-11-25 21:08:29,20.4487,121.9702,77.77,80,100,25.23
169,Shenjiamen,CN,2021-11-25 21:08:30,29.9576,122.298,54.59,56,0,3.74
170,Volchikha,RU,2021-11-25 21:08:30,52.0333,80.3833,11.08,92,99,10.74
171,Baft,IR,2021-11-25 21:08:30,29.234,56.6057,47.1,32,0,1.57
172,Kruisfontein,ZA,2021-11-25 21:08:31,-34.0033,24.7314,61.88,80,100,18.99
173,Coahuayana,MX,2021-11-25 21:08:31,18.7333,-103.6833,92.68,50,6,6.35
174,Airai,TL,2021-11-25 21:03:43,-8.9266,125.4092,61.52,92,79,1.39
175,Marsh Harbour,BS,2021-11-25 21:05:29,26.5412,-77.0636,72.95,63,67,15.21
176,Hithadhoo,MV,2021-11-25 21:09:32,-0.6,73.0833,81.32,71,98,16.26
177,Mayo,US,2021-11-25 21:06:18,38.8876,-76.5119,59.23,61,1,3.0
178,Tongchuan,CN,2021-11-25 21:09:32,35.0806,109.0897,41.83,35,17,5.28
179,Provideniya,RU,2021-11-25 21:09:33,64.3833,-173.3,3.31,60,40,8.95
180,Svetlaya,RU,2021-11-25 21:09:33,46.5389,138.3297,21.6,71,86,11.27
181,Evensk,RU,2021-11-25 21:09:33,61.95,159.2333,-9.89,81,1,13.56
182,Ust-Tsilma,RU,2021-11-25 21:09:34,65.441,52.1498,-2.97,100,87,1.72
183,Nadadores,MX,2021-11-25 21:09:34,27.05,-101.6,57.24,82,90,0.0
184,Fort Nelson,CA,2021-11-25 21:09:35,58.8053,-122.7002,7.92,90,100,2.37
185,Mende,FR,2021-11-25 21:09:35,44.6667,3.5,32.47,96,100,6.06
186,Nalut,LY,2021-11-25 21:09:35,30.3333,10.85,59.88,53,1,9.89
187,Saint-Georges,GD,2021-11-25 21:09:36,12.0564,-61.7485,85.68,74,20,9.22
188,Severo-Kurilsk,RU,2021-11-25 21:08:58,50.6789,156.125,35.37,87,100,6.8
189,Northam,GB,2021-11-25 21:02:14,51.0333,-4.2167,44.62,84,100,12.95
190,Bundaberg,AU,2021-11-25 21:01:00,-24.85,152.35,76.21,97,96,3.0
191,Flin Flon,CA,2021-11-25 21:09:36,54.7682,-101.865,16.21,83,100,9.33
